Timestamp, Electrode 1, Electrode 2, Electrode 3, Electrode 4, Electrode 5, Electrode 6, Electrode 7, Electrode 8, Marker
0,0,2,4,7,-2,3,2,4,0
5,-1,-3,5,7,3,-2,-2,-3,0
10,0,4,-17,-30,-7,-1,-1,-1,0
15,-1,1,3,2,0,0,1,-1,0
20,1,-4,-1,1,-5,-1,1,1,0
25,1,-1,-1,3,2,-1,-2,-2,0
30,-1,4,16,11,3,-2,-2,-3,0
35,-2,-3,-5,20,6,3,1,-1,0
40,3,1,-9,-32,-12,-2,4,1,0
45,-3,4,2,-1,-2,-3,-4,-3,0
50,0,-8,-5,6,2,1,2,-1,0
55,-3,-1,2,-11,-6,0,-1,0,0
60,-2,-15,17,20,4,4,2,2,0
65,3,8,-5,-3,2,-1,-2,-1,0
70,-4,1,-5,-4,-2,-2,-5,-1,0
75,1,5,1,3,-1,-1,-2,0,0
80,-1,0,-6,6,-1,-1,3,0,0
85,-2,-1,3,-9,-5,-5,-2,-4,0
90,-2,-3,-5,-15,1,0,-3,-3,0
95,2,-7,-7,1,-3,-2,1,1,0
100,-1,3,-4,6,1,2,-2,-2,0
105,-1,-1,-7,10,6,2,0,1,0
110,0,-6,-19,2,1,0,0,0,0
115,1,-1,-3,-2,-1,1,-2,1,0
120,-3,1,-1,0,0,-2,-3,-4,0
125,0,-4,1,2,0,-1,1,-1,0
130,0,3,4,-3,-1,0,0,0,0
135,-4,-4,-2,6,-2,1,2,0,0
140,0,0,-5,-15,-3,-2,-6,-3,0
145,0,0,-5,-1,1,-1,-2,1,0
150,-1,9,2,-4,-2,-2,-2,-1,0
155,-4,-31,-8,1,1,0,1,-2,0
160,1,21,36,12,4,-2,0,-1,0
165,-7,3,-19,6,-1,0,-1,-2,0
170,1,4,14,-1,2,0,2,1,0
175,-4,-26,17,-1,-4,-4,1,-1,0
180,5,7,-26,-18,-1,-3,-4,0,0
185,-4,-27,-17,15,6,2,1,2,0
190,-2,-4,-9,-18,-10,-4,-1,-5,0
195,0,18,-3,-3,-2,-2,2,2,0
200,-4,-6,6,-5,3,1,-3,-2,0
205,1,-7,-2,3,0,0,1,-2,0
210,-2,1,4,7,3,0,0,1,0
215,2,0,-6,-5,-3,1,-1,-2,0
220,0,-8,-10,3,-2,-1,-2,-2,0
225,2,11,8,-12,-2,-1,-3,0,0
230,-3,-5,1,3,-2,0,-3,-1,0
235,1,14,1,-5,0,2,1,-1,0
240,-4,-1,1,7,4,-2,0,-1,0
245,3,4,6,-1,-5,-2,1,0,0
250,0,-4,-2,-3,2,-3,-1,-1,0
255,1,2,0,6,3,2,-2,0,0
260,-3,-4,-2,8,2,-2,0,0,0
265,-7,-2,-5,-9,-2,-2,-1,-5,0
270,4,-5,-2,-5,-3,-2,0,4,0
275,-8,11,-15,-9,-1,-1,-1,-4,0
280,7,-9,3,1,0,-2,-2,0,0
285,0,8,7,-8,-4,-1,-1,-5,0
290,1,0,-6,13,6,0,0,-1,0
295,-8,-15,-8,3,-6,-1,-2,-6,0
300,5,9,-4,-8,1,1,-1,5,0
305,1,-4,-1,9,3,-1,-1,0,0
310,-6,-1,-1,-1,1,2,-1,0,0
315,6,1,0,2,2,0,1,-1,0
320,-3,-4,0,7,0,0,0,-4,0
325,-1,0,5,-8,-3,-1,2,-1,0
330,3,3,3,-1,-2,1,-1,1,0
335,-1,1,-2,-2,-1,-3,0,1,0
340,-4,-2,0,-3,-1,-1,-1,-2,0
345,1,6,2,-1,0,0,-1,1,0
350,-1,-4,2,-1,-1,-1,-2,0,0
355,0,1,1,3,1,1,-3,0,0
360,1,1,-1,-1,-2,-1,2,-3,0
365,0,-1,-1,-4,-1,0,0,-5,0
370,6,1,2,9,-1,1,0,8,0
375,0,6,-6,-2,4,1,0,3,0
380,-2,2,14,-1,-1,-1,-2,0,0
385,-2,-4,-8,-2,-2,-2,0,2,0
390,-5,-7,-8,-17,0,-2,-1,-9,0
395,1,-7,-2,7,1,1,3,6,0
400,0,8,5,11,2,-1,1,0,0
405,1,-9,-4,2,1,1,0,2,0
410,-5,-5,7,3,-1,0,0,-7,0
415,2,8,0,-8,0,-1,2,-1,0
420,-5,1,-4,-5,0,2,-2,-3,0
425,-2,1,7,-3,-2,-1,0,-2,0
430,-3,1,-6,0,-1,-1,-1,-5,0
435,8,0,7,2,0,-1,-2,8,0
440,-1,-3,-8,-2,-3,1,0,-3,0
445,-1,4,3,-4,-1,0,-1,8,0
450,-5,0,2,4,2,1,-1,-1,0
455,-4,0,-4,-1,-4,-2,-2,-9,0
460,-4,-4,1,-3,1,-2,-1,-2,0
465,9,-4,-17,6,0,0,2,2,0
470,4,9,12,-8,-1,0,0,2,0
475,-5,-2,9,3,0,0,-1,-3,0
480,0,-7,-11,-5,-1,-1,0,0,0
485,-11,-1,10,-1,-3,1,-1,-9,0
490,4,-6,-13,12,4,0,-2,-2,0
495,1,17,13,-4,-5,-3,-3,2,0
500,5,-8,-13,-5,1,0,2,9,0
505,-4,8,9,-1,-1,-1,-4,-2,0
510,0,0,-4,-5,-5,0,0,17,0
515,-3,-1,14,11,-1,-1,-5,-12,0
520,1,-3,-7,3,0,0,0,3,0
525,0,3,2,-6,-2,0,-2,5,0
530,-5,-2,2,5,-1,-2,-3,-6,0
535,1,-5,-10,-5,1,0,1,3,0
540,-4,4,3,-3,-1,-1,2,-3,0
545,-1,0,-1,0,1,0,0,-2,0
550,-1,-2,-1,-3,-3,1,-1,-6,0
555,0,0,-5,-5,-2,-2,1,-1,0
560,-6,-4,1,0,4,-1,-2,-10,0
565,11,0,2,6,-3,7,7,6,0
570,-2,0,-4,-5,-2,-5,-6,8,0
575,1,-1,-1,-4,1,2,4,-9,0
580,1,-1,1,0,-9,-10,-7,4,0
585,-6,0,-1,-1,9,4,2,-11,0
590,1,3,3,0,-5,10,-2,-6,0
595,1,-5,-4,-3,2,3,9,9,0
600,-2,0,1,1,-3,-13,-3,2,0
605,11,0,0,-1,-2,-3,-1,7,0
610,-4,-3,-7,-6,-3,-2,3,-11,0
615,10,5,8,9,6,4,4,27,0
620,-6,-2,-2,2,-1,7,2,-10,0
625,-4,-1,-5,-15,-5,-10,-10,-2,0
630,3,7,9,4,1,4,7,3,0
635,-4,-8,-4,3,-1,-4,-6,-3,0
640,3,1,-8,-14,-7,0,2,-2,0
645,-1,-3,7,18,3,1,-1,3,0
650,-3,1,-9,-19,-5,-1,-2,-5,0
655,-4,-2,3,3,2,-1,-6,-7,0
660,5,2,-12,-2,2,3,0,11,0
665,-3,-3,11,8,0,-1,4,-5,0
670,1,2,47,32,3,-3,-2,-1,0
675,-6,1,-43,-39,-15,-9,-11,-7,0
680,1,-3,17,6,1,3,2,8,0
685,0,3,-12,-30,-8,-4,-3,-11,0
690,-3,-6,-8,19,6,-3,2,3,0
695,3,1,12,8,2,-4,-2,3,0
700,-3,-3,3,4,-1,3,0,-3,0
705,-1,-1,0,7,4,1,-1,3,0
710,-3,-2,-6,-7,-6,0,-2,-9,0
715,3,-1,1,7,8,4,2,-10,0
720,-1,1,8,8,0,-1,0,-4,0
725,2,1,-24,-19,-2,-2,-2,1,0
730,0,0,-2,-10,-1,-2,-1,-3,0
735,3,-5,-5,1,-1,-1,-3,3,0
740,0,1,9,-7,1,-1,-1,-5,0
745,-1,-2,14,32,3,1,1,4,0
750,-2,5,-16,-42,-6,1,0,-7,0
755,4,-3,7,16,2,-3,-4,-6,0
760,1,-1,-8,15,1,3,1,-2,0
765,0,-8,-10,-18,-3,-3,-2,-1,0
770,-2,-5,-1,8,4,0,1,2,0
775,2,4,7,-18,-6,-1,2,5,0
780,-4,-5,-3,5,2,-1,0,-2,0
785,-3,1,4,-4,-3,-2,-1,2,0
790,3,0,-5,6,0,-1,3,7,0
795,-5,-5,-2,-1,-1,-1,-2,-7,0
800,1,1,-4,-13,-1,-1,0,0,0
805,-2,2,2,7,0,2,-1,0,0
810,-1,-1,-4,-4,-2,-2,-2,4,0
815,-3,-3,1,2,1,-1,-4,-8,0
820,-5,-5,-9,-3,-3,1,-1,-3,0
825,-1,4,15,5,3,-1,3,1,0
830,-4,-5,-15,-6,1,-3,1,-2,0
835,-1,2,-3,-2,-2,-4,-5,-1,0
840,-5,-3,17,12,-1,0,27,3,0
845,-7,-5,-11,0,3,3,-36,-6,0
850,6,1,-9,-8,-2,2,23,3,0
855,-4,-1,11,12,1,-1,10,0,0
860,4,-3,-26,-23,-2,-6,-14,-3,0
865,-1,-3,10,18,1,0,-1,1,0
870,-5,-7,0,-4,-2,5,6,0,0
875,9,-3,-7,1,1,4,-2,-2,0
880,-2,-2,22,50,6,-2,5,-3,0
885,12,10,-38,-76,-9,-6,3,-1,0
890,1,-4,11,13,2,-4,-17,0,0
895,-2,1,0,2,1,-5,2,-2,0
900,1,7,9,-1,0,5,-12,-2,0
905,-1,-1,8,17,4,0,9,-1,0
910,0,-7,-9,-8,2,3,0,3,0
915,1,14,6,-4,-5,-6,0,-1,0
920,-2,-5,-5,-7,-1,0,-7,-5,0
925,3,5,9,12,-2,-3,9,-3,0
930,3,-1,-1,1,3,4,-10,3,0
935,-4,-6,-3,2,1,4,18,-1,0
940,-5,-4,-12,-16,-3,-4,-40,-5,0
945,5,7,42,24,0,2,34,1,0
950,6,10,-4,-2,-4,-3,-5,2,0
955,1,0,-4,-2,0,1,-3,0,0
960,3,7,9,10,1,1,12,0,0
965,-12,-9,-1,-20,-2,-1,-6,-6,0
970,2,-5,-3,19,4,-2,0,0,0
975,2,2,6,4,3,-4,1,3,0
980,-1,6,-18,-28,-11,8,-15,0,0
985,-1,-5,-3,19,5,1,-1,4,0
990,-8,0,3,-7,-4,1,-3,-7,0
995,-12,-4,-2,-7,-4,-1,2,-4,0
1000,-2,-1,-2,0,0,-5,1,6,0
1005,-1,-4,-8,-1,-1,0,-4,-3,0
1010,1,3,0,-6,-3,-2,5,-2,0
1015,-1,-1,-5,-3,3,-1,-9,3,0
1020,1,1,6,1,2,0,9,0,0
1025,-3,-2,-12,-6,-4,-1,-4,-2,0
1030,-5,-5,0,-6,-8,-10,-2,-3,0
1035,3,5,6,4,-1,0,-4,0,0
1040,0,-3,1,-2,2,2,1,-5,0
1045,1,-1,-4,0,1,-3,5,-1,0
1050,-1,0,5,11,3,-2,22,0,0
1055,0,-2,-1,-5,2,2,-34,2,0
1060,-6,-1,-6,-11,-6,4,24,-1,0
1065,-4,1,-5,-1,-6,-4,-15,1,0
1070,-1,-2,3,4,-2,-7,3,12,0
1075,-4,-4,-5,-4,1,45,34,-7,0
1080,5,5,3,1,4,-62,-52,-15,0
1085,1,-1,2,3,-2,7,11,7,0
1090,-3,-2,-2,-4,0,9,17,0,0
1095,-13,-5,-5,-7,-6,-3,-14,-15,0
1100,25,6,2,2,2,2,-16,27,0
1105,-7,-7,-4,-1,2,28,7,-7,0
1110,-8,1,3,4,-5,-46,-15,-10,0
1115,8,-2,-2,-3,0,14,-64,-3,0
1120,-1,-5,-1,-1,3,12,71,9,0
