Timestamp, Acceleration x, Acceleration y, Acceleration z, Marker
40,-0.559082,0.488281,0.620605,0
60,-0.563965,0.479492,0.616699,0
80,-0.570801,0.476562,0.609375,0
100,-0.564453,0.478516,0.609375,0
120,-0.563965,0.473633,0.615723,0
120,-0.563477,0.487305,0.611816,0
160,-0.564941,0.487793,0.622559,0
180,-0.569824,0.48291,0.620605,0
200,-0.566895,0.48877,0.611816,0
210,-0.565918,0.487305,0.612793,0
230,-0.564453,0.487793,0.623047,0
250,-0.56543,0.489746,0.617676,0
270,-0.564453,0.485352,0.617676,0
290,-0.565918,0.484375,0.612793,0
310,-0.570312,0.484375,0.608887,0
330,-0.575195,0.478027,0.608398,0
350,-0.573242,0.483398,0.611816,0
370,-0.572266,0.484863,0.608887,0
390,-0.573242,0.485352,0.612305,0
410,-0.572266,0.48291,0.609375,0
430,-0.570312,0.476562,0.61377,0
450,-0.572266,0.481934,0.615234,0
470,-0.570312,0.481934,0.614746,0
490,-0.571289,0.480469,0.620117,0
510,-0.569336,0.489258,0.616699,0
530,-0.566406,0.485352,0.607422,0
550,-0.562988,0.483887,0.617676,0
570,-0.572754,0.481445,0.617188,0
590,-0.576172,0.46875,0.618652,0
610,-0.573242,0.470215,0.608887,0
630,-0.561523,0.478027,0.606445,0
650,-0.566406,0.482422,0.610352,0
670,-0.566406,0.482422,0.617188,0
690,-0.555664,0.482422,0.619141,0
710,-0.550781,0.491211,0.624023,0
730,-0.549316,0.493652,0.62793,0
750,-0.558105,0.487793,0.633301,0
770,-0.56543,0.484863,0.628906,0
790,-0.568848,0.477539,0.628906,0
810,-0.571777,0.470703,0.622559,0
830,-0.575195,0.478027,0.619141,0
850,-0.57959,0.475098,0.621094,0
870,-0.578125,0.466309,0.615234,0
890,-0.563477,0.477051,0.616211,0
910,-0.561035,0.485352,0.621094,0
930,-0.557129,0.480469,0.619629,0
950,-0.557129,0.484375,0.61377,0
970,-0.564453,0.477051,0.622559,0
990,-0.567871,0.477539,0.620605,0
1010,-0.569824,0.47998,0.617188,0
1030,-0.570312,0.47998,0.604004,0
1050,-0.566406,0.479492,0.611816,0
1070,-0.575195,0.478027,0.618164,0
1090,-0.572266,0.480469,0.62207,0
1110,-0.570312,0.480469,0.626465,0
1130,-0.569336,0.486328,0.625488,0
1150,-0.569336,0.484863,0.616699,0
1170,-0.568848,0.494141,0.615723,0
1190,-0.569824,0.479492,0.60791,0
1210,-0.565918,0.476562,0.609375,0
1230,-0.570312,0.478516,0.609863,0
1250,-0.570312,0.469727,0.616211,0
1270,-0.570312,0.476074,0.609863,0
1290,-0.571289,0.488281,0.619629,0
1310,-0.578613,0.48877,0.618164,0
1330,-0.572266,0.490234,0.613281,0
