Timestamp, Electrode 1, Electrode 2, Electrode 3, Electrode 4, Electrode 5, Electrode 6, Electrode 7, Electrode 8, Marker
0,1,0,-1,0,0,0,-1,-1,0
5,-2,-2,-2,-1,0,0,-1,-1,0
10,-2,-3,-1,-2,-2,-2,-2,-1,0
15,-1,-1,-2,0,0,1,-1,0,0
20,0,-1,-2,-2,0,2,-1,-2,0
25,0,0,0,-1,-1,-1,-1,-1,0
30,-2,0,-1,0,-2,-1,0,-1,0
35,-3,-2,-2,0,1,-4,0,-2,0
40,-2,-1,-1,0,0,-2,2,-1,0
45,1,0,-1,-3,-2,-1,0,-1,0
50,0,-1,-2,-1,-1,-1,-3,-1,0
55,1,0,-1,0,-2,-1,-2,0,0
60,-1,0,-3,-2,-3,-1,-3,1,0
65,-1,0,-1,-1,0,-1,-1,-1,0
70,-1,-1,-1,0,0,0,3,1,0
75,-1,-2,-1,-3,-2,-1,1,-2,0
80,-3,-2,-2,0,-3,-1,-2,-1,0
85,-1,-3,-1,0,-2,-1,-2,0,0
90,-1,-1,-1,-2,-1,-1,0,0,0
95,-2,-1,-1,-1,-1,-3,-1,-2,0
100,0,-2,-1,-1,-1,-1,-1,-2,0
105,-2,-1,-1,0,-1,-2,-1,-1,0
110,-1,-2,-1,-1,-1,-2,-3,-3,0
115,-1,0,0,-1,-1,1,-3,-1,0
120,-1,-2,-2,-1,-2,-1,0,-1,0
125,0,-1,-1,-2,0,-1,0,0,0
130,0,-1,-2,-2,-2,-1,0,0,0
135,-2,-2,-1,0,-1,0,-2,-2,0
140,-1,-1,-1,0,-2,0,0,-1,0
145,-1,-2,-1,-1,-2,-1,-1,-2,0
150,-2,-1,-2,-1,-1,0,-1,-1,0
155,-1,0,-1,-2,-1,-4,1,0,0
160,-2,0,1,0,0,0,-1,-1,0
165,-1,-1,-1,-1,0,-1,-3,0,0
170,-2,-2,-1,1,-2,-1,-2,-1,0
175,0,-1,0,-1,0,1,-2,0,0
180,-2,-1,-1,0,0,-1,-2,-1,0
185,-3,-1,-1,0,-1,0,1,-1,0
190,-1,-1,-2,-2,-2,-3,-1,-3,0
195,0,-2,-2,-2,-1,-1,0,-2,0
200,-2,-1,-1,-4,-1,-2,-3,-2,0
205,1,-1,0,-1,-3,-2,-3,0,0
210,-1,-1,0,-2,-1,-1,-1,0,0
215,-2,-1,0,-1,-3,-2,-4,-3,0
220,0,-1,-1,0,-1,0,-1,-1,0
225,-1,-3,-3,-4,-1,0,-2,0,0
230,0,0,0,-1,0,-2,0,-2,0
235,-2,-1,-2,-2,-2,-1,1,-1,0
240,-1,-2,-1,-2,0,-2,0,-1,0
245,0,0,-2,-2,-1,0,0,-3,0
250,0,-2,0,-1,0,-2,-2,-1,0
255,-1,-1,-2,-2,-2,-1,0,-1,0
260,0,-3,-1,-1,-2,-2,-1,-1,0
265,-1,-1,0,-1,-1,-1,-2,-1,0
270,-1,0,-1,0,-2,0,0,0,0
275,-1,0,0,-1,1,-1,-1,-2,0
280,-1,-1,-1,-1,-1,-4,1,-1,0
285,-1,0,0,0,-1,-1,2,-1,0
290,-2,0,-1,-2,-1,-1,-1,-2,0
295,-1,-1,0,-1,0,0,-1,-1,0
300,0,-2,-1,0,-1,0,2,0,0
305,0,-2,0,0,-1,0,-1,-1,0
310,-1,-2,-1,0,-1,-1,-1,0,0
315,-3,-2,-1,-1,-2,0,0,1,0
320,-2,1,-2,-2,0,-1,-5,-1,0
325,-2,-1,-2,0,-1,-2,0,0,0
330,-1,-1,-1,-1,-1,-2,0,-2,0
335,0,-1,-1,-1,-1,0,-2,-2,0
340,1,-1,-1,-1,0,-1,2,-1,0
345,0,0,0,0,-2,0,0,0,0
350,-1,-1,-1,-2,1,-1,0,0,0
355,1,1,0,-2,-1,0,-2,-1,0
360,-1,-1,-1,0,-1,-3,-5,-2,0
365,-2,-1,-2,-1,0,-2,-2,-1,0
370,-1,-2,-2,-2,-1,-1,-3,0,0
375,-1,-2,-2,1,-3,0,-2,0,0
380,-1,-1,-1,-1,-3,1,1,-1,0
385,-2,0,0,-1,0,-3,-2,-2,0
390,0,-1,-2,-1,-1,0,-1,-1,0
395,1,-2,-1,-1,1,-2,-1,0,0
400,-1,0,-1,-1,0,-2,-3,-2,0
405,-1,-2,2,-1,-2,-1,0,-1,0
410,-1,-1,-1,-1,-1,0,3,-2,0
415,-1,0,-1,-1,-1,-2,-1,-1,0
420,-1,-1,-1,-1,-1,0,0,-2,0
425,-3,-1,-1,-2,-2,-2,0,-1,0
430,-2,0,-1,-1,0,0,-4,-1,0
435,0,-2,-2,-1,0,-1,-3,-2,0
440,0,-1,-1,-2,-2,0,-2,-1,0
445,1,-1,-1,-3,-1,-2,-3,-1,0
450,-1,0,-1,0,0,-1,1,-1,0
455,-3,-1,0,-3,-1,-1,2,-1,0
460,-1,-1,-1,-1,-1,1,0,1,0
465,0,-1,1,0,-1,2,0,0,0
470,-1,-2,-2,1,-2,-2,0,0,0
475,-2,-1,-1,-1,-1,0,-2,-5,0
480,-1,0,1,-1,0,-1,0,0,0
485,0,1,-2,-2,0,0,-1,0,0
490,-2,-1,0,-1,-1,0,-2,-2,0
495,-1,0,1,-1,-1,-2,-2,-1,0
500,1,-2,-1,-1,-1,-2,1,-3,0
505,-1,-1,-1,-1,-1,-3,-2,-1,0
510,-1,0,1,-1,-2,-1,-2,-2,0
515,-1,1,-1,-1,-1,0,0,0,0
520,-2,-3,0,0,-1,-2,-3,-1,0
525,-3,-1,-2,-1,-2,0,-3,-2,0
530,-1,-1,0,-1,-1,-2,-2,-1,0
535,-1,0,-1,-2,-1,-1,0,-1,0
540,-1,-1,-1,-2,-1,1,1,0,0
545,-1,-1,-3,0,-1,-1,1,0,0
550,-1,-2,-2,1,0,-2,0,-1,0
