Timestamp, Angle x, Angle y, Angle z, Marker
40,0.667056,0.62884,-1.38222,0
60,0.668225,0.629068,-1.38195,0
80,0.669023,0.629482,-1.38167,0
100,0.669665,0.629712,-1.38144,0
120,0.669662,0.629777,-1.38165,0
120,0.669662,0.629777,-1.38165,0
160,0.669508,0.629678,-1.38165,0
180,0.669508,0.629678,-1.38165,0
200,0.66958,0.629583,-1.38165,0
210,0.66958,0.629583,-1.38165,0
230,0.669631,0.629588,-1.38167,0
250,0.669476,0.629489,-1.38167,0
270,0.66986,0.629677,-1.38162,0
290,0.670621,0.630032,-1.38178,0
310,0.67116,0.630319,-1.38173,0
330,0.671503,0.630791,-1.38165,0
350,0.671503,0.630791,-1.38165,0
370,0.671503,0.630791,-1.38165,0
390,0.671503,0.630791,-1.38165,0
410,0.671431,0.630886,-1.38164,0
430,0.671428,0.630951,-1.38185,0
450,0.670922,0.630853,-1.38188,0
470,0.67026,0.630657,-1.38191,0
490,0.670185,0.630816,-1.38212,0
510,0.670257,0.630721,-1.38212,0
530,0.670257,0.630721,-1.38212,0
550,0.670103,0.630623,-1.38213,0
570,0.670103,0.630623,-1.38213,0
590,0.66938,0.63081,-1.38214,0
610,0.66884,0.630716,-1.38157,0
630,0.668058,0.63031,-1.38127,0
650,0.666689,0.629615,-1.38101,0
670,0.664591,0.628822,-1.38077,0
690,0.662468,0.627779,-1.38035,0
710,0.660864,0.626926,-1.38052,0
730,0.659957,0.626281,-1.38098,0
750,0.659348,0.626258,-1.38218,0
770,0.659719,0.626738,-1.38369,0
790,0.661059,0.627634,-1.3849,0
810,0.662833,0.628725,-1.38609,0
830,0.664711,0.629829,-1.38731,0
850,0.665714,0.630456,-1.38798,0
870,0.665997,0.631054,-1.38831,0
890,0.66607,0.63096,-1.38831,0
910,0.66607,0.63096,-1.38831,0
930,0.66559,0.630547,-1.38796,0
950,0.665159,0.630203,-1.38784,0
970,0.665159,0.630203,-1.38784,0
990,0.665487,0.630452,-1.38798,0
1010,0.66597,0.630801,-1.38812,0
1030,0.666044,0.631274,-1.38869,0
1050,0.665452,0.631197,-1.3891,0
1070,0.664662,0.631219,-1.38953,0
1090,0.664075,0.630927,-1.38956,0
1110,0.663972,0.630832,-1.38958,0
1130,0.664447,0.630742,-1.38958,0
1150,0.665356,0.630845,-1.38953,0
1170,0.666567,0.630794,-1.38929,0
1190,0.668144,0.630815,-1.38864,0
1210,0.669963,0.631023,-1.38855,0
1230,0.671338,0.631663,-1.38861,0
1250,0.671801,0.632264,-1.38893,0
1270,0.672927,0.632912,-1.38905,0
1290,0.673523,0.633075,-1.38859,0
1310,0.673637,0.633458,-1.38857,0
1330,0.67371,0.633364,-1.38857,0
1350,0.673987,0.633525,-1.38875,0
1370,0.674341,0.633526,-1.38872,0
1390,0.674704,0.633815,-1.38868,0
1410,0.674704,0.633815,-1.38868,0
1430,0.674249,0.633654,-1.38852,0
1450,0.674249,0.633654,-1.38852,0
1470,0.674247,0.633719,-1.38873,0
1490,0.67382,0.633964,-1.38891,0
