C1,C2,C3,C4,C5,C6,C7,C8,Marker
-2,-2,-2,0,0,-2,-2,-5,NAN
-2,-1,-1,-3,-4,-1,-4,-2,NAN
-3,-1,0,-1,-2,0,-1,-3,NAN
-1,-1,-1,3,-1,-3,-3,-2,NAN
0,0,-3,-3,2,-1,-2,0,NAN
-2,-2,-4,0,-5,-8,-3,-2,NAN
-2,-1,-1,0,3,5,0,-1,NAN
1,-1,-3,-5,-7,-2,0,-1,NAN
-1,-2,-1,2,7,3,0,-2,NAN
-2,-1,-2,0,-1,0,-3,-1,NAN
0,-2,-4,-2,4,-5,-2,-1,NAN
-1,-2,-4,-3,-9,-5,-3,-1,NAN
-2,-2,-1,0,1,0,-1,-2,NAN
-2,-1,1,2,2,1,3,-1,NAN
-1,-3,-3,-2,-4,0,-2,-3,NAN
0,-1,-1,0,0,0,0,2,NAN
-1,-2,-7,-1,-5,-5,-4,-8,NAN
1,0,1,3,3,4,2,22,NAN
-1,1,1,2,2,0,0,-5,NAN
-1,-1,-2,-3,2,2,-2,-5,NAN
-2,0,-1,-4,-10,-4,-2,0,NAN
0,-2,-3,-4,0,-3,0,-7,NAN
0,0,0,2,1,0,0,-1,NAN
-1,-2,0,1,2,2,0,1,NAN
-2,-3,1,1,0,0,0,1,NAN
0,-2,-3,-3,-4,-2,-4,-6,NAN
0,1,-4,-7,-7,-8,-3,2,NAN
0,-2,-1,2,4,1,-2,-3,NAN
-1,-2,-1,1,0,2,0,-1,NAN
-1,-1,-3,-4,-8,1,1,-4,NAN
1,-3,-1,1,4,3,1,4,NAN
1,-3,-3,-7,-6,-7,-3,-4,NAN
0,0,0,1,-7,-1,1,0,NAN
-4,1,2,2,6,5,-1,-3,NAN
0,0,-3,-7,-10,-4,-2,1,NAN
0,0,-1,4,3,-2,0,-3,NAN
0,-2,-2,-4,-5,-1,-1,-1,NAN
-1,-1,0,1,2,0,-1,-6,NAN
0,1,2,1,2,1,2,14,NAN
-3,-3,-2,-5,-5,-3,-3,-5,NAN
-1,0,1,-2,-4,0,-2,-5,NAN
-2,0,0,0,4,-1,-2,0,NAN
-1,-1,0,2,0,1,0,1,NAN
-1,0,-1,-5,-4,1,0,-3,NAN
0,-2,-3,0,-2,-3,1,-2,NAN
-1,0,1,0,0,0,-1,1,NAN
-2,-2,1,-2,-4,-1,-1,-3,NAN
0,1,1,0,-3,-2,-1,3,NAN
-2,0,0,0,0,-2,-1,-3,NAN
0,0,0,-2,1,2,-2,-3,NAN
-1,0,0,2,5,-3,-1,-3,NAN
0,-2,0,1,0,-1,-1,-3,NAN
-3,-2,-6,-10,-6,-6,-3,-2,NAN
0,-2,-2,2,1,1,-1,-1,NAN
0,-1,2,-3,-2,1,0,-8,NAN
1,-2,-2,-1,-3,-2,2,23,NAN
-2,0,3,6,2,2,0,-2,NAN
0,-1,-2,1,-3,-2,1,-2,NAN
-2,-2,-4,-5,-4,-5,-3,0,NAN
-2,0,1,-1,0,-1,0,-6,NAN
-1,-2,1,-2,0,3,-1,1,NAN
-1,-1,0,-1,-1,-2,0,-1,NAN
-1,-2,-3,-1,2,0,-1,2,NAN
-2,0,-1,1,-4,-5,-2,-5,NAN
-1,-2,-2,0,4,3,1,3,NAN
-1,0,1,-2,-3,4,-1,-5,NAN
-2,-2,0,3,4,0,0,0,NAN
-1,-1,1,-3,-1,-1,-2,-2,NAN
-1,-1,0,0,-2,4,0,0,NAN
0,1,0,2,-1,-4,-1,-5,NAN
-2,-1,0,3,-2,2,1,-3,NAN
-2,0,-3,-1,-2,-1,-1,-6,NAN
1,0,1,-3,-3,-5,-1,6,NAN
-1,-2,0,-3,5,4,-1,-8,NAN
-2,-1,-1,-2,-2,-4,-3,-1,NAN
-2,-2,-2,-2,-3,-1,-2,-4,NAN
0,0,-1,0,-5,-5,-3,0,NAN
-1,0,1,1,3,4,1,1,NAN
-1,-2,-3,-2,-3,0,-1,-2,NAN
-1,0,3,0,-1,-2,-1,1,NAN
0,1,2,1,1,-3,1,-3,NAN
-1,0,-3,2,-1,2,0,0,NAN
-2,-3,-2,-2,6,-1,-1,-2,NAN
-2,-1,-3,0,-6,1,-2,-6,NAN
0,-1,-1,-3,3,-2,-2,-3,NAN
0,1,1,0,0,-1,1,9,NAN
-1,0,-1,-1,-5,0,-3,-4,NAN
-2,-1,-2,3,2,3,0,-4,NAN
-1,-2,-2,0,3,1,0,0,NAN
0,-1,1,-6,-10,-5,-2,1,NAN
0,-1,-1,0,0,4,0,-5,NAN
1,0,2,6,10,1,1,-2,NAN
1,0,-2,-2,-7,-3,0,0,NAN
-1,-2,-7,-9,-6,-7,-4,2,NAN
-2,-1,-2,-3,-2,-3,-2,0,NAN
0,-2,1,-1,1,-1,-1,0,NAN
-1,0,1,4,3,4,1,-3,NAN
1,-1,1,2,5,0,-1,-2,NAN
0,0,0,-5,-3,0,-1,-1,NAN
-2,-4,1,0,-3,0,-3,0,NAN
-1,1,-1,2,-5,-1,1,0,NAN
-1,0,-1,-2,-2,-1,-2,-9,NAN
