Timestamp, Acceleration x, Acceleration y, Acceleration z, Marker
30,-0.536133,-0.422852,0.667969,0
50,-0.53418,-0.416504,0.647949,0
70,-0.557129,-0.42334,0.654785,0
90,-0.583496,-0.444336,0.679199,0
110,-0.58252,-0.443359,0.703125,0
130,-0.568359,-0.429199,0.672363,0
150,-0.572754,-0.425293,0.634277,0
170,-0.590332,-0.435547,0.613281,0
190,-0.581543,-0.453125,0.631836,0
210,-0.559082,-0.456543,0.660156,0
210,-0.552734,-0.443848,0.647949,0
250,-0.553223,-0.44043,0.616211,0
270,-0.567871,-0.438477,0.630859,0
290,-0.578125,-0.431152,0.632324,0
300,-0.62207,-0.436035,0.648438,0
320,-0.620605,-0.429688,0.638672,0
340,-0.612305,-0.436523,0.654297,0
360,-0.607422,-0.450195,0.647461,0
370,-0.621582,-0.43457,0.636719,0
390,-0.618652,-0.421875,0.63916,0
410,-0.591309,-0.40625,0.635254,0
430,-0.572754,-0.424316,0.633301,0
450,-0.581055,-0.433594,0.640625,0
470,-0.592285,-0.433594,0.63916,0
490,-0.591309,-0.418457,0.646973,0
510,-0.604492,-0.42334,0.64209,0
530,-0.617676,-0.42627,0.629395,0
550,-0.625488,-0.425781,0.623535,0
570,-0.617188,-0.419922,0.612793,0
590,-0.595215,-0.421387,0.612793,0
610,-0.596191,-0.421875,0.619141,0
630,-0.592285,-0.44043,0.621094,0
650,-0.583008,-0.444336,0.632324,0
670,-0.589844,-0.445801,0.646973,0
690,-0.592285,-0.444824,0.636719,0
710,-0.599121,-0.451172,0.639648,0
730,-0.603027,-0.447754,0.634766,0
750,-0.606934,-0.436523,0.628906,0
770,-0.598633,-0.431152,0.620117,0
780,-0.59375,-0.432129,0.617188,0
800,-0.59082,-0.431641,0.62793,0
820,-0.597168,-0.431641,0.635254,0
840,-0.596191,-0.442871,0.622559,0
860,-0.591797,-0.4375,0.626953,0
880,-0.599609,-0.453125,0.625977,0
900,-0.597168,-0.453613,0.632324,0
920,-0.597656,-0.460449,0.621094,0
940,-0.595215,-0.45459,0.616211,0
960,-0.600586,-0.450195,0.626953,0
980,-0.601562,-0.425781,0.612305,0
1000,-0.602539,-0.421875,0.624512,0
1020,-0.594238,-0.433105,0.625977,0
1040,-0.591309,-0.442383,0.632324,0
1060,-0.595703,-0.449219,0.630859,0
1080,-0.595703,-0.453125,0.625488,0
1100,-0.594727,-0.458008,0.630371,0
1120,-0.595703,-0.463867,0.627441,0
1140,-0.609375,-0.472656,0.616699,0
1160,-0.593262,-0.490723,0.59375,0
1180,-0.546387,-0.47168,0.619629,0
1200,-0.558105,-0.463867,0.620605,0
