Timestamp, Rotation x, Rotation y, Rotation z, Marker
30,9.6875,-9.3125,1.75,0
50,6.625,-7,4.3125,0
70,2.4375,-3.375,3.25,0
90,-2.75,-3.875,-1.9375,0
110,-6.3125,-7.1875,-3.8125,0
130,-2.3125,-7.9375,4.1875,0
150,-0.0625,-3.6875,10,0
170,1.1875,0.375,7.0625,0
190,0.1875,-2.0625,-2.875,0
210,-4.25,-4.875,-0.375,0
210,0.5625,-4.5625,5.8125,0
250,-1.375,0.5625,7.25,0
270,-0.5625,5.1875,7.5,0
290,-0.375,9,3.1875,0
300,-0.125,9.75,-6.125,0
320,-0.125,6.5625,-4.3125,0
340,0.875,5.3125,-2.25,0
360,4.1875,6.3125,-4.1875,0
370,6.25,5.875,-5.125,0
390,7.1875,2.75,-3.1875,0
410,4.9375,0.375,-0.125,0
430,2.0625,0.4375,1.1875,0
450,2,2.5,2.25,0
470,0.5,2.9375,3.75,0
490,-3.9375,3.1875,3.125,0
510,-8.125,3.5,0.6875,0
530,-8.875,2.625,-1.5625,0
550,-6.8125,1.375,-2.0625,0
570,-2.8125,0.25,-2.125,0
590,-1.0625,-0.3125,-3.1875,0
610,1.875,-0.4375,-3.6875,0
630,3,-1.5,-3,0
650,4.4375,-1.5625,-2.4375,0
670,2.0625,-0.75,-0.9375,0
690,-2.75,-0.125,0.4375,0
710,-5.75,0.1875,0.875,0
730,-7.375,0.125,1.6875,0
750,-6.3125,-0.3125,1.1875,0
770,-5.1875,-0.5,0.375,0
780,-3.875,-0.625,0.4375,0
800,-2.8125,-0.1875,-0.25,0
820,-1.75,0.1875,-0.75,0
840,-0.25,0.3125,-1.25,0
860,0.375,0.75,-1.125,0
880,-1.375,1.375,-0.5625,0
900,-3.0625,2,0,0
920,-4.3125,1.8125,1.4375,0
940,-5.125,1.125,3.0625,0
960,-4.0625,0.625,2.5625,0
980,0.4375,-1,0.75,0
1000,0.9375,-1.125,0,0
1020,3,-1.125,-2.3125,0
1040,2.375,-0.1875,-2.4375,0
1060,0.6875,0.125,-1.9375,0
1080,-0.125,0.125,-1.75,0
1100,0.625,0.375,-1.375,0
1120,2.9375,0.6875,-1.4375,0
1140,7.0625,0.5,-1,0
1160,4.75,-1.875,2.3125,0
1180,-0.0625,-3.3125,5.5625,0
1200,0.875,0.375,1,0
1220,1.25,3.75,3.75,0
1240,0.9375,2.8125,6.9375,0
1260,3.75,4.25,0.8125,0
1280,7.75,4.1875,-0.3125,0
1300,6.875,1.25,-0.8125,0
1320,8.0625,3.75,-3.6875,0
1340,10,5.0625,-6.0625,0
1360,12.125,2.375,-6.625,0
1380,6.8125,-2.0625,-5.9375,0
1400,0,-2.625,-2.125,0
1420,0.1875,-2.375,-1.3125,0
1440,5.0625,-3.1875,-2.8125,0
1460,7.25,-3.5625,-4.375,0
1480,7.375,-4,-4.125,0
1500,11.25,-6.125,-1.6875,0
1520,12.875,-8.3125,1,0
1540,9.5625,-8.5,1.375,0
1560,1.3125,-4.6875,1.1875,0
1580,-6.5625,1.375,-1.0625,0
1600,-10.375,4.6875,-1,0
1620,-7.625,6.5625,-1.1875,0
1640,-4.0625,6.375,-7.125,0
1660,-7.75,4.4375,-8.5,0
1680,-8.6875,2.9375,-6.1875,0
1700,-6.3125,2.5625,-4.0625,0
1720,-4.75,1.9375,-3.625,0
1740,-4.25,1.3125,-3.8125,0
1760,-3,0.375,-3.625,0
1780,-1.6875,-0.25,-3.0625,0
1800,-0.375,-1.3125,-2.875,0
1820,1.0625,-2.0625,-1.6875,0
1830,-0.1875,-2.0625,0.1875,0
1850,-4,-1.25,1.5,0
1870,-7.375,-0.1875,3.0625,0
1890,-8.375,0.25,3.25,0
1910,-8.125,0.25,3,0
1930,-9.75,0.0625,3.1875,0
1950,-8.125,0.6875,3.875,0
1980,-7,2,3.6875,0
2000,-5.9375,1.1875,4.25,0
2020,-4.9375,0.625,4.4375,0
2040,-6.375,1.1875,4.375,0
2060,-6.6875,2.5,3.4375,0
2080,-5.6875,2.6875,2.0625,0
2100,-5.375,2.125,1.625,0
2120,-4.3125,2.5,1.375,0
2140,-2.75,2.375,-0.4375,0
2160,0.625,0.1875,-1.8125,0
2180,2,-1.125,-0.9375,0
2200,1.8125,-1.0625,0.4375,0
2220,-0.375,-0.625,1.375,0
2240,-1.25,1.0625,0.625,0
2260,-0.125,1.8125,0.25,0
2280,1.1875,0.9375,0.25,0
2300,1.0625,-0.5,-0.625,0
2320,0.1875,-1.5,-0.875,0
2340,2.125,-1.6875,-1.0625,0
2360,3.8125,-0.6875,-0.875,0
2380,3.3125,0.125,-0.25,0
2400,0.875,-0.25,0.1875,0
2420,-1.375,-1.125,0.1875,0
2440,-1.5,-1.5,-0.1875,0
2460,0.375,-2,-0.6875,0
2480,1.6875,-2.375,-0.5625,0
2500,1.375,-2.1875,0,0
2520,-0.125,-0.8125,0.5,0
2540,-0.5625,0,2.25,0
2560,-0.1875,0,2.5,0
2580,-0.25,-0.3125,1.25,0
2600,-0.25,-1.3125,1,0
2620,-1.125,-1.8125,0.5625,0
2640,-0.4375,-1.75,-0.25,0
2660,2.0625,-1.5625,-2,0
2680,4.3125,-1.3125,-2,0
2700,4.8125,-0.6875,-1.25,0
2720,4.3125,-0.0625,-0.6875,0
2730,3,-0.125,-0.375,0
2750,1.3125,-0.1875,-0.0625,0
2770,0.5,0,0.375,0
2790,-0.75,-0.25,1.0625,0
2810,-0.0625,-0.1875,1.3125,0
2830,1.5,-0.375,0.75,0
2850,1.75,-0.4375,0.5,0
2870,1.75,-0.5625,0.625,0
2890,1.4375,-0.6875,0.375,0
2910,0.75,-0.5625,0.4375,0
2930,1.5,0.125,-0.375,0
2950,3.6875,-0.375,-1.375,0
2970,1.4375,-0.8125,-0.75,0
2990,-0.3125,-0.1875,0.1875,0
3010,-0.75,0,1.3125,0
3030,-0.5,-0.4375,1.3125,0
3050,-0.0625,-0.5,1.5,0
3070,-0.4375,-0.4375,1.3125,0
3090,-0.75,-0.25,0.75,0
3110,-0.9375,-0.5,-0.0625,0
3130,-1.125,-0.5625,-0.8125,0
3150,-0.75,-0.4375,-0.875,0
3170,-0.3125,-0.125,-1,0
3190,0.375,0.0625,-0.75,0
3210,1.4375,0.125,-1.0625,0
3230,1.75,0.125,-1.1875,0
3250,1.375,0.0625,-1,0
3270,0.25,0.125,-0.5625,0
3290,0.25,0.1875,-0.5,0
3310,0.3125,0.25,-0.375,0
3330,0.3125,0.3125,0,0
3350,-0.1875,0.3125,-0.0625,0
3370,-0.5625,0.4375,0,0
3390,0,0.3125,0.1875,0
3410,-0.25,0.1875,0.4375,0
3430,-1.3125,0,0.8125,0
3450,-2,0.0625,0.9375,0
3470,-2.0625,0.0625,0.6875,0
3490,-1.5625,-0.1875,0.625,0
3510,-1.3125,-0.25,0.1875,0
3530,-1,-0.25,-0.0625,0
3550,-0.5,0,-0.0625,0
3570,-1,0.3125,-0.375,0
3590,-1.25,0.375,-0.25,0
3610,-0.9375,0.25,-0.0625,0
3630,-1.4375,0,0.0625,0
3650,-0.9375,-0.0625,0.375,0
3670,-0.625,-0.4375,0.625,0
3690,0.3125,-0.3125,0.625,0
3710,0.5,-0.3125,-0.0625,0
3730,0.625,-0.4375,-1,0
3750,0.0625,-0.6875,-1.3125,0
3770,-0.75,-0.125,-1.125,0
3790,1.375,-0.25,-2.375,0
3810,5.3125,-1.625,-3.3125,0
3830,7.8125,-2.375,-2.0625,0
3850,5.375,-2.0625,0.375,0
3870,1.4375,-1.0625,1.8125,0
3900,-2.8125,0.125,3.5,0
3920,-3.5,-0.1875,1.75,0
3940,-3.5625,-1.125,1.9375,0
3960,-3,-1,3.4375,0
3980,-1.1875,0.625,4.25,0
4000,-0.6875,1.3125,3.25,0
4020,-2.3125,0.3125,2.875,0
4040,-3,-0.5,1.9375,0
4060,-3.4375,-0.4375,0.5625,0
4080,-3.0625,0.125,-0.5625,0
4100,-3.4375,1.9375,-0.4375,0
4120,-5.3125,2.8125,1.375,0
4140,-7.3125,2.875,1.375,0
4160,-6.9375,1.9375,0.125,0
4180,-7.1875,0.5625,-1.125,0
4200,-5.625,-1,-2.4375,0
4220,1.5,-3.5,-3.25,0
4240,8.6875,-5.125,-4.5625,0
4260,11.8125,-6.4375,-5.9375,0
4280,8.5625,-7,-3.6875,0
4300,10.9375,-8.5,-2.125,0
4320,12.4375,-9.25,-2.6875,0
4340,14.8125,-11.375,-3.4375,0
4360,18,-10.0625,-6.8125,0
4380,17.1875,-6.9375,-7.0625,0
4400,17.125,-5.4375,-5.0625,0
4420,17.625,-3.375,-5.875,0
4440,16.9375,-2,-5.75,0
4460,18.9375,-3,-4.5,0
4480,20.625,-4.625,-3.875,0
4500,19.375,-4.1875,-0.875,0
4520,15.875,-2.6875,2.0625,0
4540,10.75,-0.375,3.875,0
4560,5.5625,0.75,7.6875,0
4580,-0.5,1.875,9.6875,0
4600,-8.4375,2.125,7.5,0
4620,-15.6875,2.4375,5.1875,0
4640,-17.75,2.75,3.125,0
4660,-14.125,2.5,3.25,0
4680,-9.1875,1.9375,3.5625,0
4700,-7.125,1.125,3.4375,0
4720,-2.1875,1.0625,2.0625,0
4740,0.5625,0.375,-0.5,0
4760,0.75,0.375,-2.5,0
4780,-0.1875,0.6875,-4.0625,0
4800,1.4375,0.9375,-6,0
4820,1.75,1.0625,-7.1875,0
4840,2.125,0.75,-8.0625,0
4860,1.25,0.25,-8.3125,0
4880,1.8125,0.25,-5.5625,0
4900,2.75,1.125,-2.6875,0
4920,2.1875,1.125,0.375,0
4940,3.8125,0.1875,2.875,0
4960,4.0625,0.1875,3.875,0
4980,2.25,0.1875,4.625,0
5000,1.625,0.1875,4.375,0
5020,0.1875,-0.625,4.4375,0
5040,0.9375,-0.4375,4.1875,0
5060,-0.0625,0.125,3.5,0
5080,0.375,0.0625,3.25,0
5100,0.1875,0.3125,1.9375,0
5120,0.25,0.5625,0.375,0
5140,1.5625,0.625,-0.5625,0
5160,0.375,0.75,-2.5625,0
5180,0.25,0.8125,-3.375,0
5200,0.6875,1.25,-3.8125,0
5220,1.75,1.3125,-3.6875,0
5240,1.9375,1.25,-3.5,0
5260,1.8125,1.5625,-3.6875,0
5280,1,1.75,-4.6875,0
5300,2.625,1.625,-5.1875,0
5320,2.6875,1.6875,-4.8125,0
5340,0.5625,1.375,-4.125,0
5360,-0.1875,1.125,-3.125,0
5380,-2.4375,0.6875,-1.25,0
5400,-3.125,0.75,0.4375,0
5420,-3.1875,0.75,0.5,0
5440,-2,0.5,0.4375,0
5460,-1,0.0625,-0.3125,0
5480,-1.125,0.0625,-0.8125,0
5500,-0.3125,0,-1.1875,0
5520,-0.25,0.125,-1.5,0
5540,-0.5,0.25,-1.5625,0
5560,-0.6875,0.1875,-1.25,0
5580,0.25,0.1875,-0.625,0
5600,0.0625,0.625,-0.125,0
5620,-0.625,0.25,0.125,0
5640,-0.1875,0,0.3125,0
5660,1.125,-0.25,0.375,0
5680,2.125,-0.3125,0.625,0
5700,2.5,-0.125,0.1875,0
5720,1.0625,-0.4375,0.5625,0
5740,1,-0.25,0.125,0
5760,1,-0.375,0.1875,0
5790,1.4375,-0.4375,-0.0625,0
5810,2.0625,-0.4375,0,0
5830,2.1875,-0.5625,0.0625,0
5850,1.75,-0.4375,0.1875,0
5870,1.125,-0.625,0.5,0
5890,2,-0.5,0.625,0
5900,2.0625,-0.6875,0.0625,0
5920,3,-0.8125,-0.1875,0
5940,3.375,-0.9375,-0.5625,0
5960,3.5,-1.0625,-0.75,0
5980,3.5,-1.0625,-0.875,0
6000,3.875,-1.125,-0.625,0
6020,3.75,-1.1875,-0.375,0
6040,2.875,-1.25,0,0
6060,2.875,-1.75,1.125,0
6080,4.8125,-1.5,0.9375,0
6100,5.1875,-1.3125,0.4375,0
6110,3.625,-1.4375,-0.3125,0
6130,2.4375,-1.25,-0.75,0
6150,1.9375,-1.0625,-0.25,0
6170,2.125,-0.875,-0.1875,0
6190,2.6875,-1.0625,0.0625,0
6210,2.1875,-2,0,0
6230,2.1875,-1.3125,-0.625,0
6250,2,-0.9375,-0.875,0
6270,2.3125,-0.8125,-0.8125,0
6290,1.3125,-0.5,-0.6875,0
6310,0.5625,-0.5,-0.5,0
6330,0.375,-0.3125,-0.1875,0
6350,0.625,-0.125,0.0625,0
6370,0.25,-0.1875,-0.1875,0
6390,-0.1875,-0.5,-0.3125,0
6410,0.5,-0.5,-0.1875,0
6430,0.5625,-0.4375,0.3125,0
6450,0.375,-0.0625,0.625,0
6470,-1.25,0.1875,0.4375,0
6490,-2.0625,0.3125,-0.5625,0
6510,-0.5,0.1875,-1.4375,0
6530,0.25,0.1875,-1.125,0
6550,-2.5,0.1875,0.875,0
6570,-5.6875,0.125,2.125,0
6590,-4.5625,0.1875,0.9375,0
6610,-0.6875,0.125,-0.6875,0
6630,1.6875,-0.1875,-1.5,0
6650,1.0625,-0.5,-1.625,0
6670,-0.125,-0.6875,-1.5625,0
6690,-0.3125,0,-0.9375,0
6710,-1.8125,0.5,0.1875,0
6730,-2.8125,0.8125,1,0
6750,-3.3125,0.5,1.3125,0
6770,-2.3125,0.1875,0.9375,0
6790,-1.8125,-0.125,0.3125,0
6810,-1.375,-0.25,-0.4375,0
6830,-0.3125,-0.1875,-0.625,0
6850,1.75,-0.1875,-0.25,0
6870,1.375,-0.1875,0.3125,0
6890,-1.3125,-0.1875,0.375,0
6910,-2.75,-0.3125,0.25,0
6930,-1.875,0.1875,0.625,0
6950,-1.25,0.25,1.1875,0
6970,-2.1875,0.0625,1.125,0
6990,-1.75,0.1875,1.25,0
7010,-0.875,0.125,0.6875,0
7030,-1.1875,0.0625,0.1875,0
7050,-1.25,-0.1875,-0.3125,0
7070,-1.5,0.0625,-0.1875,0
7090,-1.5625,0.375,-0.125,0
7110,-1.4375,0.375,-0.1875,0
7130,-1.0625,0.1875,-0.25,0
7150,-1,0.25,0.125,0
7170,-1.5,0.375,-0.3125,0
7190,-2.1875,0.1875,-0.4375,0
7210,-1.8125,0.1875,-0.6875,0
7230,-1.1875,0.0625,-0.625,0
7250,-0.9375,-0.0625,-0.625,0
7270,-1.125,-0.5,-0.3125,0
7290,-0.1875,-0.1875,-0.625,0
7310,-0.5,-0.125,-0.5,0
7330,-1.5,0.125,-0.125,0
7350,-1.8125,0.375,0.1875,0
7370,-2.4375,0.375,0.625,0
7390,-2.1875,0.1875,0.75,0
7410,-1.5,0.1875,0.625,0
7430,-0.3125,0.25,0.5625,0
7450,-0.5,0.125,0.25,0
7470,-0.0625,-0.0625,0,0
7490,-0.1875,0.0625,-0.3125,0
7510,0.1875,0.0625,-0.125,0
7530,-0.3125,-0.1875,-0.25,0
7550,-0.25,0,-0.0625,0
7570,-0.25,-0.0625,-0.125,0
7590,-0.1875,-0.125,-0.1875,0
7610,-0.75,0,0.125,0
7630,-0.75,0.125,0.1875,0
7650,-0.8125,0.0625,0.4375,0
7670,-1.1875,0,0.6875,0
7690,-0.4375,-0.375,0.75,0
7710,0.75,-0.0625,0.375,0
7730,0,0.0625,-0.375,0
7750,-0.25,-0.5625,-0.6875,0
7770,-0.125,-0.5,-0.75,0
7790,0.6875,-0.1875,-0.25,0
7810,-0.1875,-0.0625,0,0
7830,0.875,-0.375,0,0
7850,1,-0.6875,-0.25,0
7870,1,-0.5,-0.625,0
7890,0.75,-0.125,-0.3125,0
7910,0.125,-0.0625,0.1875,0
7930,-0.8125,-0.125,0.5,0
7950,-0.875,-0.3125,0.6875,0
7970,-0.1875,0.125,1,0
7990,-0.1875,0.1875,1.1875,0
8010,-0.375,0,0.6875,0
8030,-0.5625,-0.4375,0.3125,0
8050,0.375,-0.4375,0.3125,0
8070,0.5625,-0.1875,0,0
8080,0.4375,-0.3125,-0.125,0
8100,0,-0.1875,0,0
8120,-0.6875,-0.0625,-0.25,0
8140,-0.75,-0.25,-0.1875,0
8160,-1,0.0625,-0.125,0
8180,-1.75,0.0625,0,0
8200,-1.4375,0.0625,0,0
8220,-1.25,0.0625,0.3125,0
