Timestamp, Acceleration x, Acceleration y, Acceleration z, Marker
50,-0.466797,-0.362793,0.738281,0
70,-0.46582,-0.369629,0.72998,0
90,-0.462402,-0.369629,0.73877,0
110,-0.465332,-0.365723,0.738281,0
130,-0.459961,-0.371094,0.737305,0
150,-0.461914,-0.371582,0.743652,0
160,-0.467285,-0.36084,0.743164,0
160,-0.469727,-0.362793,0.736816,0
200,-0.467285,-0.36377,0.737793,0
220,-0.46875,-0.366211,0.733887,0
240,-0.465332,-0.362305,0.734375,0
260,-0.459961,-0.364258,0.739258,0
280,-0.456055,-0.366699,0.744629,0
300,-0.462891,-0.357422,0.745605,0
320,-0.462891,-0.353516,0.748047,0
340,-0.458496,-0.360352,0.744141,0
360,-0.456543,-0.36084,0.741211,0
380,-0.457031,-0.361816,0.743164,0
400,-0.459473,-0.362305,0.743164,0
420,-0.459961,-0.368164,0.743164,0
440,-0.458496,-0.362305,0.741699,0
460,-0.459961,-0.35791,0.743652,0
480,-0.465332,-0.358398,0.743164,0
500,-0.466797,-0.352051,0.739746,0
520,-0.462402,-0.355957,0.746094,0
540,-0.460938,-0.365234,0.741699,0
560,-0.461914,-0.366699,0.736328,0
580,-0.466797,-0.36377,0.73877,0
600,-0.464355,-0.357422,0.741211,0
620,-0.460449,-0.364258,0.740723,0
640,-0.458984,-0.366699,0.738281,0
660,-0.460449,-0.370117,0.739258,0
680,-0.460449,-0.364258,0.741699,0
700,-0.459473,-0.35791,0.739746,0
720,-0.462402,-0.368164,0.741699,0
740,-0.459961,-0.368652,0.737793,0
760,-0.458008,-0.367676,0.741699,0
780,-0.460938,-0.364258,0.741699,0
800,-0.45752,-0.366211,0.743652,0
820,-0.462891,-0.365234,0.746582,0
840,-0.45752,-0.361816,0.741211,0
860,-0.460938,-0.364746,0.744629,0
880,-0.463379,-0.365723,0.747559,0
900,-0.463867,-0.369629,0.745117,0
920,-0.463379,-0.369629,0.739746,0
940,-0.462891,-0.370605,0.732422,0
960,-0.463379,-0.368652,0.739258,0
980,-0.46582,-0.367188,0.741211,0
1000,-0.463867,-0.369629,0.73877,0
1020,-0.462402,-0.372559,0.735352,0
1040,-0.462891,-0.373535,0.731934,0
1060,-0.458984,-0.377441,0.734375,0
1080,-0.460938,-0.386719,0.734375,0
1100,-0.46582,-0.382812,0.739746,0
1120,-0.462891,-0.37793,0.73584,0
1140,-0.46582,-0.373047,0.729004,0
1160,-0.456543,-0.383789,0.723145,0
1180,-0.457031,-0.384277,0.733398,0
1200,-0.460938,-0.384277,0.72998,0
1220,-0.464355,-0.395508,0.730469,0
1240,-0.462891,-0.383789,0.734375,0
1260,-0.467773,-0.375,0.739258,0
1280,-0.467773,-0.369141,0.743652,0
1300,-0.466309,-0.359375,0.744629,0
1320,-0.461426,-0.360352,0.737305,0
1340,-0.458008,-0.365723,0.734375,0
1360,-0.465332,-0.366211,0.740234,0
1380,-0.463867,-0.368164,0.738281,0
1400,-0.463379,-0.366699,0.736328,0
1420,-0.45459,-0.370117,0.743164,0
1440,-0.455566,-0.369141,0.745605,0
1460,-0.456055,-0.366211,0.746582,0
1480,-0.455566,-0.370605,0.748047,0
1500,-0.450684,-0.365723,0.738281,0
1520,-0.449707,-0.37793,0.738281,0
1540,-0.455078,-0.368164,0.739746,0
1560,-0.459473,-0.369141,0.737793,0
1580,-0.458496,-0.377441,0.740723,0
1600,-0.463867,-0.367676,0.741699,0
1620,-0.467285,-0.362793,0.742188,0
1640,-0.455566,-0.362793,0.733887,0
1660,-0.459961,-0.360352,0.739258,0
1680,-0.460938,-0.369141,0.743164,0
1700,-0.456543,-0.368652,0.741211,0
1720,-0.453613,-0.378418,0.739746,0
1740,-0.455566,-0.374023,0.742676,0
1760,-0.455078,-0.371582,0.743652,0
1780,-0.455566,-0.369629,0.736816,0
1800,-0.454102,-0.371094,0.745117,0
1820,-0.464355,-0.367676,0.741211,0
1830,-0.470703,-0.366699,0.735352,0
1850,-0.463867,-0.371582,0.72998,0
1870,-0.462402,-0.373047,0.739258,0
1890,-0.464355,-0.371582,0.749023,0
1910,-0.460449,-0.370605,0.733398,0
1930,-0.45752,-0.373047,0.747559,0
1950,-0.461426,-0.373047,0.745605,0
1970,-0.46582,-0.378418,0.739746,0
1990,-0.461426,-0.376953,0.730469,0
2010,-0.458496,-0.37207,0.729492,0
2030,-0.46582,-0.366211,0.737793,0
2050,-0.467773,-0.366211,0.736328,0
2070,-0.462891,-0.369629,0.733887,0
2090,-0.462402,-0.37207,0.738281,0
2110,-0.462402,-0.371582,0.724121,0
2130,-0.455078,-0.382324,0.729492,0
2150,-0.465332,-0.370605,0.744629,0
2170,-0.478027,-0.360352,0.744629,0
2190,-0.467285,-0.365723,0.727539,0
2210,-0.459473,-0.370605,0.727051,0
2230,-0.458008,-0.380371,0.736328,0
2250,-0.462891,-0.370117,0.744141,0
2270,-0.458008,-0.375977,0.733887,0
2290,-0.444824,-0.383789,0.730957,0
2310,-0.456055,-0.384277,0.748535,0
2330,-0.470215,-0.376953,0.753906,0
2350,-0.472656,-0.361816,0.749512,0
2370,-0.466797,-0.354004,0.742676,0
2390,-0.48584,-0.349609,0.726074,0
2410,-0.491699,-0.36084,0.724609,0
2430,-0.47168,-0.367676,0.721191,0
2450,-0.458984,-0.375,0.728027,0
2470,-0.45752,-0.38916,0.739746,0
2490,-0.455078,-0.394531,0.745117,0
2510,-0.453613,-0.39209,0.741211,0
2530,-0.458008,-0.385254,0.73584,0
2550,-0.46875,-0.375,0.728516,0
2570,-0.474121,-0.373535,0.729492,0
2590,-0.473145,-0.369141,0.729492,0
2610,-0.479004,-0.368652,0.737793,0
2630,-0.47168,-0.374023,0.732422,0
2650,-0.472168,-0.375,0.728027,0
2670,-0.472168,-0.377441,0.729004,0
2690,-0.462891,-0.37207,0.737793,0
2710,-0.456055,-0.384277,0.732422,0
2730,-0.456543,-0.387207,0.729004,0
2750,-0.453125,-0.387207,0.726562,0
2770,-0.458984,-0.391602,0.730469,0
2790,-0.469238,-0.38916,0.736816,0
2810,-0.477051,-0.380371,0.738281,0
2830,-0.469238,-0.37793,0.731934,0
2850,-0.46875,-0.380371,0.725586,0
2870,-0.46875,-0.384766,0.728027,0
2890,-0.460938,-0.378418,0.731445,0
2910,-0.460449,-0.375977,0.732422,0
2930,-0.461914,-0.382324,0.733398,0
2950,-0.457031,-0.378418,0.738281,0
2970,-0.461914,-0.381836,0.739258,0
2990,-0.463867,-0.372559,0.737793,0
3010,-0.465332,-0.375488,0.728027,0
3030,-0.46582,-0.380859,0.72998,0
3050,-0.46582,-0.369141,0.737305,0
3070,-0.465332,-0.375,0.734863,0
3090,-0.459961,-0.376953,0.730957,0
3110,-0.460938,-0.370117,0.730469,0
3130,-0.458008,-0.373047,0.734863,0
3150,-0.462402,-0.373535,0.742676,0
3170,-0.459961,-0.384277,0.738281,0
3190,-0.45752,-0.380859,0.739746,0
3210,-0.45752,-0.378418,0.740234,0
3230,-0.467285,-0.380371,0.734863,0
3250,-0.459961,-0.370117,0.736328,0
3270,-0.462402,-0.374023,0.73877,0
3290,-0.455078,-0.37207,0.746094,0
3310,-0.452637,-0.371094,0.739258,0
3330,-0.454102,-0.378418,0.73291,0
3350,-0.458984,-0.381348,0.737305,0
3370,-0.461426,-0.378906,0.741211,0
3390,-0.461426,-0.375,0.737793,0
3410,-0.466797,-0.37207,0.740234,0
3430,-0.458496,-0.37207,0.739258,0
3450,-0.455566,-0.369141,0.743164,0
3470,-0.459961,-0.375488,0.743164,0
3490,-0.458496,-0.377441,0.734863,0
3510,-0.453125,-0.375977,0.72998,0
3530,-0.452637,-0.375488,0.745605,0
3550,-0.460449,-0.371094,0.742188,0
3570,-0.459473,-0.374023,0.748535,0
