Timestamp, Rotation x, Rotation y, Rotation z, Marker
50,0.9375,-1.5625,-0.5,0
70,1.0625,-1.75,-0.875,0
90,1.6875,-2.0625,-0.625,0
110,1.6875,-1.6875,-0.4375,0
130,2.125,-1.625,-0.125,0
150,1.9375,-1.6875,0.125,0
160,1.625,-1.625,0.5,0
160,0.8125,-1.4375,0.5,0
200,1.25,-1.5625,0.1875,0
220,1.875,-1.6875,-0.125,0
240,2.625,-1.8125,-0.5,0
260,2.1875,-1.875,-0.375,0
280,2,-1.9375,0.0625,0
300,1.4375,-1.625,0.1875,0
320,0.5625,-1.5625,-0.3125,0
340,0.3125,-1.5625,-0.8125,0
360,-0.1875,-1.25,-0.625,0
380,-0.375,-0.8125,-0.25,0
400,-0.5625,-0.75,0.5,0
420,-0.9375,-0.8125,1.375,0
440,-1.1875,-1,1.75,0
460,0.1875,-1,1.625,0
480,0.9375,-1,1,0
500,1.375,-1,0.375,0
520,-0.125,-1.1875,-0.4375,0
540,-1.1875,-0.75,-0.4375,0
560,-1.5,-0.5,0.0625,0
580,-1.6875,-0.5625,0.0625,0
600,-1.5625,-0.75,-0.3125,0
620,-1.375,-0.8125,-0.5625,0
640,-1.4375,-0.875,-0.9375,0
660,-0.9375,-1.25,-1,0
680,-0.8125,-1.1875,-0.8125,0
700,-1.75,-0.875,-0.5,0
720,-1.8125,-0.8125,-0.5,0
740,-1.375,-1,-0.1875,0
760,-0.625,-0.875,0.5625,0
780,-0.8125,-0.625,0.125,0
800,-0.9375,-0.6875,0.0625,0
820,-0.9375,-0.625,0.4375,0
840,-1.4375,-0.375,0.1875,0
860,-1.5625,-0.1875,0.1875,0
880,-2,-0.1875,0.0625,0
900,-2.0625,-0.1875,0.0625,0
920,-2.75,-0.1875,0.0625,0
940,-3.1875,-0.125,0,0
960,-3,-0.3125,0,0
980,-3,-0.375,-0.3125,0
1000,-3.0625,-0.4375,-0.75,0
1020,-2.875,-0.375,-1,0
1040,-2.625,-0.375,-1.1875,0
1060,-2.8125,-0.5625,-0.9375,0
1080,-2.375,-0.5625,-0.375,0
1100,-2.3125,-0.625,-0.1875,0
1120,-2.25,-0.875,-0.625,0
1140,-1,-0.8125,-1.1875,0
1160,0.625,-0.8125,-1.5,0
1180,1.375,-0.9375,-0.875,0
1200,2.1875,-1,0.0625,0
1220,2.5625,-1.5625,1,0
1240,3.5,-2.125,1.8125,0
1260,4.9375,-2.125,1.5,0
1280,4.5625,-2.375,0.8125,0
1300,4,-2.4375,-0.5,0
1320,3.5625,-2.125,-1,0
1340,2.375,-1.8125,-0.5,0
1360,1.875,-1.875,-0.4375,0
1380,2.6875,-2.1875,-0.875,0
1400,2.625,-2.1875,-1.1875,0
1420,2,-2.1875,-1.0625,0
1440,1.3125,-1.875,-0.8125,0
1460,-0.0625,-1.5625,-0.6875,0
1480,-1.25,-1,-0.5625,0
1500,-1.6875,-0.875,-0.125,0
1520,-1.4375,-0.875,0.5,0
1540,-0.875,-0.9375,1.4375,0
1560,-0.3125,-1.125,1.5625,0
1580,-0.125,-1.1875,1.75,0
1600,-0.5625,-1.25,1.75,0
1620,-1.3125,-0.9375,0.8125,0
1640,-1.1875,-0.8125,0.375,0
1660,-1.25,-0.875,0.3125,0
1680,-0.75,-0.375,-0.625,0
1700,-0.0625,-0.4375,-1.125,0
1720,0.5625,-0.375,-0.5,0
1740,0.1875,-0.4375,0.5,0
1760,-0.375,-0.3125,0.75,0
1780,-0.5,-0.375,1,0
1800,-0.25,-0.5,1.4375,0
1820,-0.5625,-0.375,1.6875,0
