Timestamp, Angle x, Angle y, Angle z, Marker
50,-0.455264,0.502587,1.37859,0
70,-0.455133,0.502273,1.37841,0
90,-0.454698,0.501749,1.37846,0
110,-0.454275,0.501404,1.3785,0
130,-0.453645,0.501111,1.37874,0
150,-0.453049,0.500714,1.37896,0
160,-0.452184,0.500645,1.37936,0
160,-0.451806,0.500645,1.37974,0
200,-0.451302,0.500555,1.38012,0
220,-0.450855,0.500493,1.38017,0
240,-0.449957,0.500258,1.38023,0
260,-0.449324,0.499741,1.38028,0
280,-0.4486,0.499299,1.3807,0
300,-0.447932,0.498999,1.38092,0
320,-0.447544,0.498819,1.38131,0
340,-0.447404,0.498327,1.38115,0
360,-0.447553,0.498134,1.38114,0
380,-0.447553,0.498134,1.38114,0
400,-0.447679,0.498224,1.38113,0
420,-0.447901,0.498316,1.38164,0
440,-0.448117,0.498454,1.38233,0
460,-0.447658,0.498707,1.38305,0
480,-0.447199,0.498847,1.38363,0
500,-0.446472,0.499045,1.38403,0
520,-0.446422,0.498859,1.38402,0
540,-0.447113,0.498878,1.38379,0
560,-0.447885,0.499024,1.38374,0
580,-0.44865,0.499215,1.38388,0
600,-0.449096,0.499278,1.38383,0
620,-0.449732,0.499155,1.38379,0
640,-0.45062,0.498944,1.38338,0
660,-0.451217,0.4987,1.38318,0
680,-0.451648,0.498361,1.38296,0
700,-0.452209,0.498334,1.38293,0
720,-0.453131,0.498289,1.38287,0
740,-0.453693,0.498263,1.38284,0
760,-0.453693,0.498263,1.38284,0
780,-0.453818,0.498352,1.38283,0
800,-0.453778,0.498346,1.38282,0
820,-0.453778,0.498346,1.38282,0
840,-0.454144,0.49855,1.38297,0
860,-0.45471,0.498748,1.38312,0
880,-0.455311,0.498844,1.38324,0
900,-0.456085,0.498992,1.38319,0
920,-0.457104,0.49921,1.3831,0
940,-0.45849,0.499518,1.38302,0
960,-0.459505,0.499781,1.38312,0
980,-0.460515,0.499821,1.38305,0
1000,-0.461697,0.499911,1.38279,0
1020,-0.462995,0.499912,1.38255,0
1040,-0.464223,0.499963,1.38212,0
1060,-0.465561,0.499816,1.38167,0
1080,-0.466688,0.499766,1.38161,0
1100,-0.46774,0.499813,1.38155,0
1120,-0.46867,0.499724,1.38131,0
1140,-0.46932,0.499666,1.38112,0
1160,-0.469571,0.499304,1.38037,0
1180,-0.469445,0.499096,1.38023,0
1200,-0.468956,0.499025,1.38025,0
1220,-0.468422,0.498994,1.38046,0
1240,-0.466958,0.498798,1.38145,0
1260,-0.464914,0.498863,1.38228,0
1280,-0.462809,0.498561,1.38313,0
1300,-0.461078,0.498034,1.38342,0
1320,-0.45968,0.497546,1.38351,0
