Timestamp, Acceleration x, Acceleration y, Acceleration z, Marker
50,0.905273,-0.365234,-0.213867,0
70,0.89502,-0.37207,-0.206543,0
90,0.859863,-0.380371,-0.20752,0
110,0.823242,-0.365234,-0.212891,0
120,0.794434,-0.374023,-0.22168,0
120,0.825684,-0.365723,-0.20459,0
160,0.850586,-0.374023,-0.220215,0
180,0.862793,-0.373535,-0.22998,0
200,0.916016,-0.341309,-0.246582,0
220,0.956055,-0.342773,-0.23877,0
240,0.942383,-0.370605,-0.235352,0
260,0.921875,-0.402832,-0.230469,0
280,0.898926,-0.417969,-0.236816,0
300,0.868164,-0.423828,-0.253906,0
320,0.853516,-0.430664,-0.26123,0
340,0.871094,-0.391602,-0.256836,0
360,0.87207,-0.355469,-0.252441,0
380,0.848633,-0.355469,-0.26123,0
400,0.860352,-0.364746,-0.236328,0
420,0.880859,-0.370605,-0.205566,0
440,0.89209,-0.375977,-0.186035,0
460,0.884766,-0.368652,-0.16748,0
480,0.903809,-0.352539,-0.152832,0
500,0.933105,-0.363281,-0.152832,0
520,0.973633,-0.358887,-0.130371,0
540,0.972656,-0.375977,-0.119141,0
560,0.983398,-0.381348,-0.145996,0
580,0.964844,-0.338867,-0.147949,0
600,0.914062,-0.348145,-0.123047,0
620,0.894531,-0.430176,-0.127441,0
640,0.884766,-0.373047,-0.152832,0
660,0.871582,-0.373047,-0.193359,0
680,0.895996,-0.34668,-0.197266,0
700,0.94043,-0.317383,-0.179688,0
720,0.94873,-0.338867,-0.177246,0
740,0.933105,-0.354492,-0.174805,0
760,0.962402,-0.30127,-0.161133,0
780,0.986328,-0.295898,-0.156738,0
800,0.922852,-0.326172,-0.181152,0
820,0.863281,-0.347656,-0.210938,0
840,0.842773,-0.361328,-0.197754,0
860,0.897949,-0.377441,-0.17334,0
880,0.916016,-0.364746,-0.160645,0
900,0.897461,-0.328613,-0.18457,0
920,0.895996,-0.375977,-0.199707,0
940,0.845703,-0.386719,-0.164062,0
960,0.823242,-0.361328,-0.17334,0
980,0.815918,-0.429199,-0.206543,0
1000,0.822754,-0.40918,-0.219727,0
1020,0.881836,-0.369629,-0.206543,0
1040,0.884277,-0.382324,-0.169434,0
1060,0.876465,-0.403809,-0.182617,0
1080,0.891113,-0.408691,-0.190918,0
1100,0.886719,-0.428711,-0.197754,0
1120,0.852539,-0.416504,-0.214844,0
1140,0.825195,-0.414062,-0.191895,0
1160,0.824219,-0.416016,-0.158691,0
1180,0.825195,-0.430176,-0.183105,0
1200,0.799805,-0.441895,-0.195312,0
1220,0.79834,-0.409668,-0.169922,0
1240,0.811035,-0.423828,-0.14209,0
1260,0.799316,-0.463867,-0.164062,0
1280,0.838867,-0.431641,-0.17334,0
1300,0.883789,-0.428223,-0.142578,0
1320,0.827637,-0.48291,-0.141113,0
1340,0.852539,-0.518555,-0.115723,0
1360,0.911621,-0.541992,-0.149414,0
1380,0.907715,-0.606934,-0.165527,0
1390,0.87793,-0.578125,-0.183594,0
1410,0.935059,-0.46875,-0.17041,0
1430,0.938965,-0.444824,-0.197754,0
1450,0.949219,-0.469238,-0.197266,0
1470,0.881348,-0.487793,-0.196289,0
1490,0.811523,-0.440918,-0.186523,0
1510,0.825684,-0.428711,-0.143066,0
1530,0.820312,-0.47168,-0.185059,0
1550,0.802246,-0.47998,-0.158203,0
1570,0.782227,-0.489258,-0.171387,0
1590,0.845703,-0.436523,-0.147949,0
1610,0.879883,-0.408203,-0.125,0
1630,0.842773,-0.459473,-0.190918,0
1650,0.844727,-0.490234,-0.219238,0
1670,0.860352,-0.486328,-0.189453,0
1690,0.938477,-0.481445,-0.157227,0
1710,0.916016,-0.519531,-0.22998,0
1730,0.905273,-0.494629,-0.225098,0
1750,0.905762,-0.498535,-0.172852,0
1770,0.912109,-0.486328,-0.15918,0
1790,0.889648,-0.494629,-0.152344,0
1810,0.844238,-0.469238,-0.133789,0
1830,0.882812,-0.524414,-0.180176,0
1850,0.908203,-0.48584,-0.137207,0
1870,0.881836,-0.451172,-0.090332,0
1880,0.834961,-0.458496,-0.0996094,0
1900,0.79248,-0.471191,-0.0961914,0
1920,0.823242,-0.464355,-0.0600586,0
1940,0.785645,-0.439453,-0.0483398,0
1960,0.797363,-0.468262,-0.0761719,0
1980,0.827637,-0.507324,-0.0673828,0
2000,0.828125,-0.475098,-0.0668945,0
2020,0.844238,-0.470215,-0.0878906,0
2040,0.861816,-0.479004,-0.0761719,0
2060,0.851562,-0.477051,-0.0683594,0
2080,0.855957,-0.442871,-0.0751953,0
2100,0.870605,-0.453613,-0.0776367,0
2120,0.876465,-0.435059,-0.0805664,0
2140,0.86084,-0.437012,-0.0654297,0
2160,0.873535,-0.419434,-0.0854492,0
2180,0.875,-0.430176,-0.0673828,0
2200,0.877441,-0.44873,-0.0561523,0
2220,0.894043,-0.426758,-0.0405273,0
2240,0.855957,-0.414551,-0.065918,0
2260,0.839355,-0.42041,-0.0625,0
2280,0.84668,-0.409668,-0.0473633,0
2300,0.875,-0.419434,-0.03125,0
2320,0.88623,-0.419434,-0.0351562,0
2340,0.87793,-0.418945,-0.0317383,0
2360,0.908203,-0.435547,-0.0322266,0
2380,0.895508,-0.444336,-0.0297852,0
2400,0.890137,-0.427246,-0.0356445,0
2420,0.901855,-0.428711,-0.0600586,0
2440,0.906738,-0.421387,-0.0546875,0
2460,0.880371,-0.408203,-0.0517578,0
2480,0.860352,-0.412598,-0.0522461,0
2500,0.851562,-0.414551,-0.0512695,0
2520,0.835938,-0.410156,-0.0595703,0
2540,0.820312,-0.415039,-0.0683594,0
2560,0.825684,-0.407227,-0.0605469,0
2580,0.849121,-0.404297,-0.0800781,0
2600,0.882324,-0.406738,-0.0849609,0
2620,0.883789,-0.427246,-0.0830078,0
2640,0.862305,-0.437012,-0.0942383,0
2660,0.854004,-0.459473,-0.11377,0
2680,0.855469,-0.458008,-0.10498,0
2700,0.871582,-0.40332,-0.108887,0
2720,0.87207,-0.384277,-0.134277,0
2740,0.873047,-0.406738,-0.151367,0
2760,0.884277,-0.417969,-0.166016,0
2780,0.893555,-0.396973,-0.160156,0
2800,0.883301,-0.406738,-0.166992,0
2820,0.88623,-0.419922,-0.161621,0
2840,0.898438,-0.408691,-0.154785,0
2860,0.914551,-0.39502,-0.150391,0
2880,0.914551,-0.38916,-0.162109,0
2900,0.908203,-0.396484,-0.155273,0
2920,0.914062,-0.381348,-0.148438,0
2940,0.914551,-0.369141,-0.145508,0
2960,0.909668,-0.380371,-0.145996,0
2980,0.905273,-0.379883,-0.150879,0
3000,0.897949,-0.38916,-0.148926,0
3020,0.888672,-0.379883,-0.137695,0
3040,0.880371,-0.374512,-0.144531,0
3060,0.858887,-0.381348,-0.147461,0
3080,0.844727,-0.378906,-0.15332,0
3100,0.830566,-0.37207,-0.143066,0
3120,0.823242,-0.366699,-0.128418,0
3140,0.803711,-0.374512,-0.137207,0
3160,0.794434,-0.369629,-0.141602,0
3180,0.788086,-0.356445,-0.138184,0
3200,0.776855,-0.351074,-0.136719,0
3220,0.769043,-0.333496,-0.128418,0
3240,0.773438,-0.296875,-0.132812,0
3260,0.77002,-0.293457,-0.129395,0
3280,0.791992,-0.282715,-0.100098,0
3300,0.827637,-0.258301,-0.0615234,0
3320,0.854004,-0.257324,-0.0195312,0
3340,0.872559,-0.262695,0.0195312,0
3360,0.859375,-0.265137,0.0761719,0
3380,0.895996,-0.225586,0.130371,0
3400,0.890137,-0.213867,0.19043,0
3420,0.915527,-0.185547,0.235352,0
3440,0.900879,-0.166504,0.294922,0
3460,0.866699,-0.150391,0.34082,0
3480,0.830566,-0.129883,0.401855,0
3500,0.796387,-0.149414,0.45166,0
3520,0.77832,-0.183594,0.509277,0
3540,0.737305,-0.169434,0.54248,0
3560,0.697754,-0.143066,0.57959,0
3580,0.665527,-0.139648,0.603516,0
3600,0.699707,-0.141602,0.664062,0
3620,0.645508,-0.153809,0.708984,0
3640,0.59668,-0.172363,0.713379,0
3660,0.528809,-0.199219,0.705078,0
3680,0.519043,-0.179199,0.717285,0
3700,0.538086,-0.168457,0.770996,0
3720,0.494141,-0.194824,0.787598,0
3740,0.456543,-0.225098,0.774414,0
3760,0.445801,-0.216797,0.78418,0
3780,0.386719,-0.198242,0.80957,0
3800,0.345215,-0.194336,0.849609,0
3820,0.318359,-0.23291,0.845703,0
3840,0.282227,-0.246094,0.820801,0
3850,0.289062,-0.194336,0.854004,0
3870,0.208984,-0.108398,0.892578,0
3890,0.111328,-0.116699,0.858398,0
3910,0.0341797,-0.191895,0.848633,0
