Timestamp, Electrode 1, Electrode 2, Electrode 3, Electrode 4, Electrode 5, Electrode 6, Electrode 7, Electrode 8, Marker
0,3,-17,-8,2,15,18,6,-3,0
5,-2,1,-2,-3,-5,4,6,-7,0
10,-3,-3,-1,1,-10,-10,-13,2,0
15,1,6,2,3,-1,5,8,-4,0
20,1,1,2,-6,-19,-12,19,12,0
25,-2,-3,-2,-4,5,-2,8,2,0
30,1,-3,-4,2,-1,6,12,1,0
35,-2,-2,1,2,0,-4,-11,-7,0
40,2,6,4,11,2,1,7,-3,0
45,-1,-3,-1,-1,-4,1,-2,1,0
50,-2,-2,-4,-22,-30,-9,-6,-3,0
55,2,-2,-1,6,32,12,-7,3,0
60,-3,1,-2,-2,-6,-6,-12,0,0
65,2,2,3,11,10,-13,6,4,0
70,-3,-2,1,3,1,-4,-8,-8,0
75,-8,-1,-3,-13,-29,-10,-16,-9,0
80,9,0,-2,-2,3,-3,-16,9,0
85,-4,-2,1,5,14,18,16,-7,0
90,3,-2,-1,0,7,16,0,3,0
95,-3,-2,-4,-1,-7,-23,-2,-8,0
100,-2,8,7,0,-7,-18,-27,7,0
105,-18,-18,-7,-2,-4,18,-17,-8,0
110,27,12,7,3,3,-4,12,10,0
115,-4,-10,-6,-3,2,11,20,-3,0
120,-6,0,-3,-4,-3,3,5,-2,0
125,-5,-1,-2,-1,0,-4,-6,0,0
130,-3,-1,-2,-1,0,1,-4,0,0
135,-1,-2,-1,-2,0,-2,0,-1,0
140,-1,-2,-2,-2,-2,0,-2,-2,0
145,1,-1,2,-1,1,-1,-12,0,0
150,-1,-2,-2,-1,-4,-9,-4,5,0
155,-5,-4,-6,-7,-14,-9,-4,1,0
160,2,3,4,1,1,-2,-4,-4,0
165,1,0,0,2,9,6,14,6,0
170,-2,-1,-7,-1,9,14,1,-7,0
175,-7,-2,0,-1,-3,-6,-4,-8,0
180,8,2,2,-3,-11,-9,0,13,0
185,0,-3,-1,2,5,4,-4,-3,0
190,-5,-1,1,-3,-11,-10,-6,-5,0
195,4,3,0,-4,4,12,23,6,0
200,-7,-2,-1,1,1,1,-3,-1,0
205,3,0,1,1,-9,2,18,-5,0
210,1,0,2,0,2,-1,-3,4,0
215,-9,-2,1,1,2,4,8,-1,0
220,5,4,1,2,6,4,1,-6,0
225,3,-4,-5,-1,-5,-2,-7,-2,0
230,0,1,0,-1,-2,-3,-8,-5,0
235,-2,0,0,-4,-9,-8,-8,-2,0
240,-4,-4,-3,3,32,28,6,-4,0
245,-4,-6,-3,-2,-11,-13,-3,0,0
250,1,3,1,-2,-7,-8,-2,-3,0
255,0,-1,-1,-1,-3,-2,-10,-3,0
260,4,3,-6,-7,-4,-1,3,5,0
265,-25,11,1,0,4,-3,-31,-20,0
270,-13,-12,-4,2,-1,-7,1,-7,0
275,17,-11,-5,-6,-16,-10,27,21,0
280,4,3,3,6,1,2,40,0,0
285,-12,-13,-10,-9,-9,-14,-11,23,0
290,3,6,2,1,-3,-3,-3,-16,0
295,-6,-1,-4,-3,2,7,8,3,0
300,-3,-6,-1,-7,-12,-6,-7,-10,0
305,4,-4,-4,-1,10,10,0,8,0
310,-5,0,1,1,-5,-7,-2,2,0
