Timestamp, Rotation x, Rotation y, Rotation z, Marker
50,-5.1875,-3.8125,7.5,0
70,-3.0625,-4.25,7.5625,0
90,-1.5625,-4.1875,8.9375,0
110,-3.625,-3,9.1875,0
120,-9.5625,-3.875,6.5,0
120,-13.125,-8.125,0,0
160,-5.875,-9.1875,0.375,0
180,-2.75,-6.9375,0.3125,0
200,-0.9375,-6.0625,-4.625,0
220,-0.625,-4.6875,-2.875,0
240,0.6875,-2.8125,0.375,0
260,1.125,-1.5625,3,0
280,-1.6875,-0.3125,7.3125,0
300,-3.25,2.1875,9.0625,0
320,-5.625,5.375,6.5625,0
340,-8,7.625,5.4375,0
360,-5.0625,17.6875,3.8125,0
380,-3.3125,25.9375,3,0
400,-4.5,27.875,1.4375,0
420,1,28.1875,-3.25,0
440,5.0625,32.25,-14.6875,0
460,8.6875,31.0625,-19.3125,0
480,15.0625,24.4375,-19.3125,0
500,11.125,16.4375,-16.8125,0
520,5.4375,9.9375,-13.8125,0
540,0.5625,4.8125,-10.5,0
560,1.9375,0.9375,-6,0
580,3.6875,-3.1875,-2.9375,0
600,3.4375,-8.5625,0.125,0
620,-8.6875,-16.5625,-7.5,0
640,0.9375,-14.9375,-6.9375,0
660,12.4375,-4.1875,5.125,0
680,5.3125,-3,-0.875,0
700,-2.4375,-3.0625,-6.375,0
720,-1.625,-0.125,-3.3125,0
740,6.0625,-0.8125,-7.8125,0
760,-0.6875,-6.1875,-3.75,0
780,-3.8125,-12.875,10,0
800,6.875,-8.375,8.625,0
820,10,-6.625,7.25,0
840,4.875,-4.125,10.9375,0
860,-2.75,-4.125,12.5,0
880,6.9375,0.375,12.5,0
900,8.1875,-0.9375,15.3125,0
920,2.9375,0.3125,13.5,0
940,-3.3125,-3.4375,13.875,0
960,-2.25,-4.3125,19.5,0
980,1.5625,-2.625,16,0
1000,0.125,1.75,8.0625,0
1020,-0.0625,4.625,13.625,0
1040,2.0625,3,17.3125,0
1060,6.125,-1.6875,8.9375,0
1080,0.0625,-7.125,10.25,0
1100,1.75,-4.125,12.8125,0
1120,7.6875,1.875,16.4375,0
1140,4.9375,6.0625,21.3125,0
1160,4.125,2.6875,24.9375,0
1180,3.6875,-1,25,0
1200,8.4375,-0.3125,18.875,0
1220,2.5,-3.9375,21.5,0
1240,2.1875,-3.4375,27.25,0
1260,9.1875,-3,17.25,0
1280,12.75,-8.8125,15.4375,0
1300,12.125,-1.8125,22.125,0
1320,18.8125,2.1875,16.375,0
1340,16.6875,-8.625,-2.375,0
1360,3.125,-12.3125,-14.625,0
1380,-2.8125,-5,-9.9375,0
1390,6.6875,4.1875,-2.125,0
1410,12.5,0.9375,-4.125,0
1430,3.6875,-1,-5.8125,0
1450,-3.1875,1,-2.9375,0
1470,2.5625,10.0625,2.1875,0
