Timestamp, Angle x, Angle y, Angle z, Marker
50,-2.10365,-1.12463,-1.79842,0
70,-2.1042,-1.12179,-1.79894,0
90,-2.10321,-1.11798,-1.80047,0
110,-2.10276,-1.11418,-1.80204,0
120,-2.10612,-1.11081,-1.80233,0
120,-2.11485,-1.10925,-1.79764,0
160,-2.12193,-1.10724,-1.792,0
180,-2.1265,-1.10565,-1.78775,0
200,-2.13349,-1.10678,-1.78051,0
220,-2.13845,-1.10804,-1.77531,0
240,-2.13983,-1.10813,-1.7736,0
260,-2.1378,-1.10689,-1.77526,0
280,-2.13473,-1.10405,-1.77887,0
300,-2.13047,-1.1006,-1.78465,0
320,-2.12654,-1.09814,-1.79111,0
340,-2.12388,-1.09772,-1.79794,0
360,-2.11559,-1.09993,-1.80944,0
380,-2.10265,-1.10322,-1.82553,0
400,-2.08828,-1.10772,-1.84385,0
420,-2.07185,-1.11368,-1.86189,0
440,-2.05407,-1.12368,-1.87933,0
460,-2.03603,-1.13476,-1.89576,0
480,-2.01974,-1.14522,-1.90762,0
500,-2.0089,-1.15338,-1.91507,0
520,-2.00273,-1.16029,-1.91967,0
540,-1.99938,-1.16481,-1.92224,0
560,-1.99849,-1.16742,-1.92263,0
580,-2.00001,-1.16859,-1.91913,0
600,-2.00316,-1.16784,-1.91425,0
620,-2.01636,-1.1664,-1.90235,0
640,-2.02759,-1.1656,-1.88924,0
660,-2.02527,-1.16259,-1.8876,0
680,-2.02732,-1.16212,-1.88337,0
700,-2.03383,-1.16458,-1.87742,0
720,-2.03616,-1.16622,-1.87573,0
740,-2.03723,-1.16847,-1.87194,0
760,-2.04357,-1.17014,-1.86537,0
780,-2.05072,-1.16699,-1.85925,0
800,-2.05172,-1.16365,-1.85587,0
820,-2.05181,-1.15952,-1.85187,0
840,-2.04957,-1.15473,-1.85281,0
860,-2.04754,-1.14967,-1.8555,0
880,-2.03919,-1.14635,-1.86187,0
900,-2.03278,-1.14224,-1.86612,0
920,-2.02765,-1.13759,-1.87033,0
940,-2.02523,-1.13233,-1.87421,0
960,-2.02258,-1.12544,-1.87821,0
980,-2.0188,-1.1184,-1.88208,0
1000,-2.01629,-1.11473,-1.88483,0
1020,-2.01068,-1.11129,-1.89116,0
1040,-2.00248,-1.10679,-1.89954,0
1060,-1.99885,-1.10385,-1.90143,0
1080,-2.00043,-1.09953,-1.89942,0
1100,-1.99869,-1.0945,-1.90054,0
1120,-1.99194,-1.0891,-1.90578,0
1140,-1.98128,-1.08271,-1.91587,0
1160,-1.97098,-1.07526,-1.92593,0
1180,-1.96426,-1.06671,-1.93207,0
1200,-1.95763,-1.05989,-1.93645,0
1220,-1.95417,-1.05264,-1.93934,0
1240,-1.94789,-1.0438,-1.94524,0
1260,-1.9421,-1.03752,-1.94833,0
1280,-1.93914,-1.03207,-1.94628,0
1300,-1.93075,-1.0266,-1.9513,0
1320,-1.91798,-1.02146,-1.95777,0
1340,-1.91429,-1.02108,-1.95437,0
1360,-1.92035,-1.02418,-1.94499,0
1380,-1.92343,-1.02537,-1.94202,0
1390,-1.91822,-1.02512,-1.94513,0
1410,-1.91419,-1.02793,-1.94477,0
1430,-1.91618,-1.03134,-1.94145,0
1450,-1.91871,-1.03362,-1.94018,0
1470,-1.91261,-1.034,-1.94647,0
1490,-1.90639,-1.03279,-1.95057,0
1510,-1.90421,-1.03299,-1.95069,0
1530,-1.90523,-1.03328,-1.94782,0
1550,-1.90923,-1.03257,-1.94268,0
1570,-1.91263,-1.02984,-1.93623,0
1590,-1.91348,-1.02714,-1.93116,0
1610,-1.90865,-1.02635,-1.93048,0
1630,-1.90108,-1.02605,-1.93124,0
1650,-1.89981,-1.02695,-1.92875,0
